{'姓名': '安喜县吏', '拼音': 'ān-xǐ-xiàn-lì', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '刘备任安喜县尉时，督邮到县巡视并向刘备索贿，刘备拒绝。督邮于是威逼该县吏陷害刘备，县吏不从，由此发生了张飞怒打督邮的事件。'}
{'姓名': '张武', '拼音': 'zhāng-wú', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '刘备在汝南败给了曹操后依附刘表，帮助刘表解决了荆州边患——以张武、陈孙为首的叛乱。刘备大将赵云在阵前斩敌将后得到的卢马，而张武则是第一个乘坐的卢的主人。张武被杀后，的卢马到了刘备胯下。'}
{'姓名': '张先', '拼音': 'zhāng-xiān', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '张绣手下一名部将。曹操征伐刘表时，张先被许褚斩于南阳。'}
{'姓名': '张延', '拼音': 'zhāng-yán', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '司隶河内郡修武', '现代籍贯': '河南新乡市获嘉县', '介绍': None}
{'姓名': '张杨', '拼音': 'zhāng-yáng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '稚叔', '生卒': '？ - 198', '古代籍贯': '并州云中郡', '现代籍贯': '内蒙古呼和浩特市托克托县东北', '介绍': '董卓作乱，杨起兵应袁绍。诸侯军散，杨还上党。建安元年，天子还旧京，杨以粮迎道路，遂拜为大司马。后太祖攻吕布于下邳，杨欲救之，为部将杨丑所杀。'}
{'姓名': '张音', '拼音': 'zhāng-yīn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': None}
{'姓名': '张英', '拼音': 'zhāng-yīng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '孙策东渡，英领一军屯于牛渚，两军相对，英与策将黄盖战，后为蒋钦、周泰于后军放火，军大乱，英弃了牛渚，望深山而逃。英败回见繇，繇怒欲斩之。谋士笮融、薛礼劝免，使屯兵零陵城拒敌。后策破繇，还兵复攻秣陵，中冷箭，策诈死，军中举哀。礼闻策死，与英、陈横杀出城来追之。忽伏兵四起，策当先出马，英拨马回走，被武一枪刺死。'}
{'姓名': '赵萌', '拼音': 'zhào-méng', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '汉少帝因十常侍之乱于崔烈家中避难，闵贡找到汉少帝，迎其归来，右军校尉赵萌，后军校尉鲍信等数百人马人接驾。'}
{'姓名': '赵岐', '拼音': 'zhào-qí', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '邠卿', '生卒': '108 - 201', '古代籍贯': '司隶京兆尹长陵', '现代籍贯': '陕西咸阳市泾阳县南', '介绍': '袁绍在磐河与公孙瓒僵持不下，董卓便使太傅马日磾、太仆赵岐赍诏前去和解。'}
{'姓名': '赵韪', '拼音': 'zhào-wěi', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': None}
{'姓名': '赵彦', '拼音': 'zhào-yàn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '徐州琅邪国琅邪', '现代籍贯': '山东临沂市诸城', '介绍': '议郎赵彦愤操专横，上疏劾操不奉帝旨，擅受大臣之罪。操大怒，即收赵彦杀之。'}
{'姓名': '赵月', '拼音': 'zhào-yuè', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '凉州汉阳郡冀', '现代籍贯': '甘肃天水市甘谷县东南', '介绍': '马超裨将，抚彝将军姜叙账下统兵校尉赵昂之子。杨阜诈降马超后请假，至历城与姜叙，赵昂，尹奉密谋杀超，因赵月担心儿子安危，妻王氏骂曰：“雪君父之大耻，虽丧身亦不惜，何况一子乎！君若顾子而不行，吾当先死矣！"赵昂乃决。马超闻姜叙、杨阜会合尹奉、赵昂举事，大怒，即将赵月斩之。'}
{'姓名': '赵忠', '拼音': 'zhào-zhōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '却说十常侍既握重权，互相商议，但有不从己者诛之。赵忠、张让差人问破黄巾将士索金帛，不从者奏罢职。皇甫嵩、朱隽皆不肯与，赵忠等俱奏罢其官。帝又封赵忠等为车骑将军，张让等十三人皆封列侯。朝政愈坏，人民嗟怨。'}
{'姓名': '中山国督邮', '拼音': 'zhōng-shān-guó-dū-yóu', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '督邮是汉代郡的属官，位轻权重，传达教令，督察属吏。刘备任安喜尉（属中山国）时，上级督邮以公事到县，向刘备索要贿赂，刘备不给。督邮欲陷害刘备，被张飞鞭打。'}
{'姓名': '种拂', '拼音': 'chóng-fú', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '颖伯', '生卒': '？ - ？', '古代籍贯': '司隶河南尹雒阳', '现代籍贯': '河南洛阳市东', '介绍': '李傕、郭汜纵兵大掠。太常卿种拂、太仆鲁馗、大鸿胪周奂、城门校尉崔烈、越骑校尉王颀皆死于国难。'}
{'姓名': '种辑', '拼音': 'chóng-jí', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 200', '古代籍贯': None, '现代籍贯': None, '介绍': '汉献帝不堪曹操的专权，(建安四年春三月)把血书密诏藏在衣带里，赐给车骑将军、国舅董承谋刺曹操，车骑将军、国舅董承并工部侍郎王子服，长水校尉种辑，议郎吴硕，昭信将军吴子兰，西凉太守马腾,'}
{'姓名': '种邵', '拼音': 'chóng-shào', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '申甫', '生卒': '？ - 194', '古代籍贯': None, '现代籍贯': None, '介绍': '西凉太守马腾、并州刺史韩遂，杀奔长安来，声言讨贼。李傕、郭汜用贾诩之计。恰好长安城中马宇家僮，出首家主与刘范、种邵外连马腾、韩遂，欲为内应等情。李傕、郭汜大怒，尽收三家老少良贱，斩于市，把三颗首级直来门前号令。'}
{'姓名': '周毖', '拼音': 'zhōu-bì', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '仲远', '生卒': '？ - 190', '古代籍贯': '凉州武威郡', '现代籍贯': '甘肃武威市', '介绍': '当袁绍出逃冀州时，周毖与伍琼劝董卓暂且赐袁绍郡守之职，以笼络袁绍，同时可以收服民心。董卓从之，以袁绍为渤海太守。后董卓计划迁都，周毖与伍琼前来阻止，董卓认为二人保举了与他为敌的袁绍，有通敌之嫌，于是将二人处死'}
{'姓名': '周奂', '拼音': 'zhōu-huàn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '吕布再三相劝，王允只是不肯去。不一时，各门火焰竟天，吕布只得弃却家小，引百余骑飞奔出关，投袁术去了。李傕、郭汜纵兵大掠。太常卿种拂、太仆鲁馗、大鸿胪周奂、城门校尉崔烈、越骑校尉王颀皆死于国难。'}
{'姓名': '周尚', '拼音': 'zhōu-shàng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '扬州庐江郡舒', '现代籍贯': '安徽合肥市庐江县西南', '介绍': '原来孙坚讨董卓之时，移家舒城。策长瑜两月，瑜以兄事策。瑜叔周尚为丹阳太守，今往省亲，到此与策相遇。策见瑜大喜，诉以衷情。'}
{'姓名': '朱儁', '拼音': 'zhū-jùn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '公伟', '生卒': '？ - 195', '古代籍贯': '扬州会稽郡上虞', '现代籍贯': '浙江上虞市', '介绍': '黃巾反，引军讨伐之，屡立功绩，迁车骑将军，河南尹。及董卓卒，卓余党李傕、郭汜当政。后二贼乱政，掠夺公卿，隽哀汉衰微，归家病逝。'}
{'姓名': '诸葛珪', '拼音': 'zhū-gě-guī', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '君贡', '生卒': '？ - 187', '古代籍贯': '徐州琅邪国阳都', '现代籍贯': '山东临沂市沂南县南', '介绍': '（徐）庶曰：“此人乃琅琊阳都人，复姓诸葛，名亮，字孔明，乃汉司隶校尉诸葛丰之后。其父名珪字子贡，为泰山郡丞，早卒。亮从其叔玄。'}
{'姓名': '诸葛玄', '拼音': 'zhū-gě-xuán', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '胤谊', '生卒': '？ - 197', '古代籍贯': '徐州琅邪国阳都', '现代籍贯': '山东临沂市沂南县南', '介绍': '亮从其叔玄。玄与荆州刘景升有旧，因往依之，遂家于襄阳。后玄卒，亮与弟诸葛均躬耕于南阳。'}
{'姓名': '宗宝', '拼音': 'zōng-bǎo', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '北海相孔融部将。黄巾余党管亥引兵困北海，与融要粮，融斥之。亥大怒，拍马舞刀，直取融，融将宝挺枪出马；战不数合，被管亥一刀，砍宗宝于马下。'}
{'姓名': '邹靖', '拼音': 'zōu-jìng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '黃巾起，张角一军，前犯幽州界分。幽州太守刘焉，召校尉邹靖计议。靖议急召兵。刘备等应招，共聚乡勇五百余人，来见靖，靖引见焉。贼将程远志统兵五万来犯涿郡。焉令靖引备等三人，统兵五百，大破之。后青州太守龚景为贼所围，焉令靖、备将兵五千，前往救之。围解，景犒军毕，靖自引军回。'}
{'姓名': '祖弼', '拼音': 'zǔ-bì', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '汉献帝时期的符宝郎（掌管玉玺的官位）。当曹丕篡位之时，曹洪、曹休向他索要玉玺，却被他厉声斥责，于是曹洪下令将其处死。'}
{'姓名': '左丰', '拼音': 'zuǒ-fēng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '光和末年，黄巾四起，朝廷遣中郎将卢植等领兵讨伐黄巾。时植围张角，将次可破。因角用妖术，未能即胜。朝廷差黄门丰前来体探，问植索取贿赂。植答曰：“军粮尚缺，安有余钱奉承天使？”丰挟恨，回奏朝廷，说植高垒不战，惰慢军心。因此朝廷震怒，遣中郎将董卓来代将植兵，取植回京问罪。'}
{'姓名': '左悺', '拼音': 'zuǒ-guǎn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 165', '古代籍贯': '司隶河南尹平阴', '现代籍贯': '河南洛阳市孟津县北十公里', '介绍': '司空曹操，祖父中常侍腾，与左棺、徐璜并作妖孽，饕餮放横，伤化虐民。'}
{'姓名': '左灵', '拼音': 'zuǒ-líng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '灵神', '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '傕侄李暹引兵围住宫院，用车二乘，一乘载天子，一乘载伏皇后，使贾诩、左灵监押车驾，其余宫人内侍并皆步走，拥出后宰门。李傕随后掩杀，郭汜兵退。'}
{'姓名': '鲍隆', '拼音': 'bào-lóng', '效忠势力': '魏', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': '荆州桂阳郡桂阳', '现代籍贯': '广东清远市连州', '介绍': '桂阳管军校尉。出身桂阳岭山乡猎户，曾射杀双虎。赤壁之战后，刘备命赵云攻去桂阳，鲍隆与陈应恃勇而战，被赵云所败。太守赵范纳降后，嫁嫂不成恼羞成怒，鲍隆与陈应至赵云营中诈降，为赵云识破所杀。'}
{'姓名': '毕轨', '拼音': 'bì-guǐ', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '昭先', '生卒': '？ - 249', '古代籍贯': '兖州东平国', '现代籍贯': '山东泰安市东平县', '介绍': '曹爽门客，为司马懿斩。'}
{'姓名': '卞喜', '拼音': 'biàn-xǐ', '效忠势力': '魏', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': '并州', '现代籍贯': '山西太原市西南', '介绍': '汜水关守将。原是黄巾余党，后投曹操，拨来守汜水关。善使流星锤。在镇国寺设下伏兵欲谋害千里寻兄的关羽，但是寺中僧人普净暗示加以解救。最后被关羽斩杀。'}
{'姓名': '邴原', '拼音': 'bǐng-yuán', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '根矩', '生卒': '？ - ？', '古代籍贯': '青州北海国朱虚', '现代籍贯': '山东潍坊市临朐县东南三十公里', '介绍': '魏名士。与华歆、管宁相友善。时人称三人为一龙：歆为龙头，原为龙腹，宁为龙尾。'}
{'姓名': '蔡和', '拼音': 'cài-hé', '效忠势力': '魏', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': '荆州南郡襄阳', '现代籍贯': '湖北襄阳市南', '介绍': '荆将蔡瑁的族弟。刘备依附荆州时，蔡瑁深忌刘备，设计欲于宴会上构杀之，蔡和奉命守把襄阳东门岘山大路。后来刘琮举荆州降魏，蔡氏随降。蔡瑁因善养水军而见封水军大都督，蔡和亦从为副将。周瑜设反间计，使曹操杀掉蔡瑁、张允，曹操遂使蔡和、蔡中往吴军处诈降，负责刺探敌情；周瑜知而纳之，令在甘宁手下为前部。赤壁开战当晚前夕，周瑜唤出蔡和，将其斩首祭旗。'}
{'姓名': '蔡琰', '拼音': 'cài-yǎn', '效忠势力': '魏', '性别': '女', '是否虚构': '史实人物', '字': '文姬', '生卒': '？ - ？', '古代籍贯': '兖州陈留郡圉', '现代籍贯': '河南开封市杞县南二十五公里', '介绍': '汉末女诗人，蔡邕之女。初嫁河东卫仲道。后为北方虏走，归南匈奴左贤王，居匈奴十二年。期间生二子，作《胡笳十八拍》。曹操念蔡邕无后，以千金赎回，再嫁董祀。汉中之战时，增援中的曹操路过蓝田的蔡邕庄，念及蔡邕便入庄。至堂，曹操见壁间悬一碑文图轴，乃曹娥之碑，內有八字云：“黄绢幼妇，外孙齑臼。”曹操问此乃何意，蔡琰却不识先人之意不能答。时杨修已悟，曹操令勿言，自于马上省悟乃“绝妙好辤”。遂命杨修说出，两人所猜果然相同。'}
{'姓名': '蔡阳', '拼音': 'cài-yáng', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 201', '古代籍贯': None, '现代籍贯': None, '介绍': '曹操部将。太祖部下诸将皆敬服关羽，独阳不服，故今日闻其千里寻兄，欲往追之。太祖叱之，不令去赶。后羽过关斩将，杀阳外甥秦琪，阳引军追至古城边，挺刀纵马战羽，为羽所杀。'}
{'姓名': '曹安民', '拼音': 'cáo-ān-mín', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '安民', '生卒': '？ - 197', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操兄子。建安二年，太祖到宛，张绣降。太祖欲寻妓女，安民乃引绣之叔张济妻邹氏，使操纳之。后为绣所闻，怒反之，夜袭曹军营寨，太祖狼狈逃走，安民被追兵赶上，砍为肉泥。'}
{'姓名': '曹昂', '拼音': 'cáo-áng', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '子修', '生卒': '？ - 197', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操长子。宛城之战，昂将己马让与太祖，太祖乘马走脱，昂死於乱军之中。'}
{'姓名': '曹操', '拼音': 'cáo-cāo', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '孟德', '生卒': '155 - 220', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操是西园八校尉之一，曾只身行刺董卓，失败后和袁绍共同联合天下诸侯讨伐董卓，后独自发展自身势力，一生中先后战胜了袁术、吕布、张绣、袁绍、刘表、张鲁、马超等割据势力，统一了北方。但是在南下讨伐江东的战役中，曹操在赤壁惨败。后来在和蜀汉的汉中争夺战中，曹操再次无功而返。曹操一生未称帝，他病死后，曹丕继位后不久称帝，追封曹操为魏武皇帝。'}
{'姓名': '曹纯', '拼音': 'cáo-chún', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '子和', '生卒': '？ - 210', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹仁的弟弟。作为曹仁的部将跟随曹仁一起防守南郡，受派遣，与牛金一起去救援曹洪，成功将吴将甘宁围困在彝陵，直至周瑜亲自前来解围。后来，曹仁全军偷袭周瑜大营，曹纯与曹洪同为合后，中计兵败，接应曹仁弃城而逃。'}
{'姓名': '曹芳', '拼音': 'cáo-fāng', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '兰卿', '生卒': '232 - 274', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '魏明帝曹睿的养子，年仅八岁时继位成为皇帝，由曹爽、司马懿共同辅佐朝政。后曹爽被司马懿除掉，大权落入司马氏手中。司马懿死后，其子司马师继续把持朝政。曹芳做“衣带诏”密授夏侯玄、李丰、张辑三人，欲讨伐司马师，三人在宫门处被司马师搜出“衣带诏”，于是均被杀害。司马师以太后名义废掉曹芳，改立高贵乡公曹髦为帝。'}
{'姓名': '曹洪', '拼音': 'cáo-hóng', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '子廉', '生卒': '？ - 232', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操发矫诏起义兵讨董卓，同族弟曹洪与曹仁引兵相助。卓胁迫帝后迁长安，曹操率军追至荥阳，为卓将徐荣所败。操被荣卒擒获，洪救之并让以马，操辞，洪曰：“天下可无洪，不可无公。”遂徒步从操，遇河负之过。后随操征战多年，讨吕布、袁绍，又斩何曼、袁谭等，咸有功劳。后往助夏侯渊、张郃同守东川。洪性躁，马超袭关中，洪与徐晃并为前部，却因衅而失关，操怒欲斩之，众将求情始免。随即操被超追赶甚迫，洪大叫：“勿伤我主，曹洪在此！”纵马挺刀与超战，操得免。后与曹休逼汉帝禅位，遭曹后所骂。洪向符宝郎祖弼索要玉玺未果，怒令军士斩之。'}
{'姓名': '曹奂', '拼音': 'cáo-huàn', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '景明', '生卒': '246 - 302', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操的孙子，燕王曹宇的儿子，在魏帝曹髦被杀后，被立为皇帝。曹奂是魏国的第五代皇帝，也是末代皇帝，虽为皇帝却无权，政权早已落入司马氏之手。在他在位时，司马炎禅代称帝，于是魏国灭亡，晋朝开始。'}
{'姓名': '曹节[献穆皇后]', '拼音': 'cáo-jié', '效忠势力': '魏', '性别': '女', '是否虚构': '史实人物', '字': None, '生卒': '？ - 260', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操之女。伏皇后死后，汉献帝立为皇后。曹丕篡汉，曹后大怒曰：“吾兄奈何为此乱逆之事耶！”言未已，只见曹洪、曹休带剑而入，请帝出殿。曹后大骂曰：“俱是汝等乱贼，希图富贵，共造逆谋！吾父功盖寰区，威震天下，然且不敢篡窃神器。今吾兄嗣位未几，辄思篡汉，皇天必不祚尔！”言罢，痛哭入宫。'}
{'姓名': '曹据', '拼音': 'cáo-jù', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '司马师本欲立据为君，太后以“彭城王乃老身之叔，今立为君，我何以当之？”为由而改立高贵乡公曹髦。'}
{'姓名': '曹霖', '拼音': 'cáo-lín', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 249', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '东海定王。魏主曹芳遭废，复爵齐王。立霖子髦为帝。'}
{'姓名': '曹髦', '拼音': 'cáo-máo', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '彦士', '生卒': '241 - 260', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹丕的孙子，东海定王曹霖的儿子。曹芳被废，曹髦被立为魏国皇帝。后来，曹髦因不甘心朝政被司马氏霸占，作《潜龙诗》一首述说不满，被司马昭察觉。曹髦不甘心受辱，带领数百仆人讨伐司马昭，在宫门处被司马氏的党羽贾充指使成济用戈刺死，以王礼安葬。'}
{'姓名': '曹丕', '拼音': 'cáo-pī', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '子桓', '生卒': '187 - 226', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '在争夺继承权问题上处心积虑，战胜了文才更胜一筹的弟弟曹植，被立为王世子。曹操逝世后，曹丕继位成为魏王，以不参加葬礼之罪逼弟弟曹植写下七步诗，险些将其杀害，又顺利夺下弟弟曹彰的兵权，坐稳了魏王之位。不久，曹丕逼汉献帝让位，代汉称帝，为魏国开国皇帝。刘备伐吴时，曹丕看出刘备要失败，但不听谋士之言，偏要坐山观虎斗，事后又起兵伐吴，结果被徐盛火攻击败。回洛阳后，曹丕大病，临终前托付曹睿给曹真、司马懿等人，终年四十岁。'}
{'姓名': '曹仁', '拼音': 'cáo-rén', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '子孝', '生卒': '168 - 223', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操发矫诏起义兵讨董卓，同族弟曹仁与曹洪引兵相助。尝从曹操征战吕布，攻袁术时委仁以重任守许都。又随操平袁绍，南侵刘备于新野。赤壁鏊兵后，仁据守南郡以抗周瑜，互有胜负。后仁从曹操战马超，初战巩固後方，力保不失。亦从操平定汉中，拒蜀将关羽於樊城，设誓振奋士气，坚决死守，犹如铁壁，更以毒箭射伤羽。随曹丕伐吴，兵败。后亡故。'}
{'姓名': '曹叡', '拼音': 'cáo-ruì', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '元仲', '生卒': '205 - 239', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '演义中为曹睿。曹丕之子，于曹丕之后继位成为魏国皇帝。曹睿登基之初，便中蜀国马谡离间之计，怀疑司马懿谋反，将其免职，但不久面对蜀国的北伐强攻，不得不再次启用司马懿。在司马懿等人的努力下，魏国成功防御了吴、蜀的多次进攻。后诸葛亮病逝，天下一时太平，曹睿开始大修宫殿，动员民夫三十余万，公卿皆负土于园中，于是民力疲困，怨声不绝，大臣多次劝谏而不能听。不久，曹睿病逝，临终前托付皇子曹芳于曹爽、司马懿，最终导致司马懿与曹爽争权，发动政变。'}
{'姓名': '曹氏[孙匡妻]', '拼音': 'cáo-shì', '效忠势力': '魏', '性别': '女', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': None}
{'姓名': '曹爽', '拼音': 'cáo-shuǎng', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '昭伯', '生卒': '？ - 249', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹真之子。魏明帝曹睿病危时，拜曹爽为大将军，与太尉司马懿一同受遗诏辅少主。魏帝曹芳继位后，曹爽兄弟、党羽均在朝中担任要职，宠贵无比。曹爽上表将司马懿调任没有实权的太傅，从此娇纵专权，生活奢靡，司马懿假意退避，却暗中做出准备。一次曹爽兄弟随皇帝外出祭祀先帝，司马懿趁机发动政变。曹爽优柔寡断，最终投降，被司马懿夷三族，党羽皆被剿灭。'}
{'姓名': '曹文叔', '拼音': 'cáo-wén-shū', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '文叔乃曹爽从弟。'}
{'姓名': '曹羲', '拼音': 'cáo-xī', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 249', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹羲，曹真之子，曹爽之弟。魏明帝曹睿去世后，曹爽和司马懿同受托孤辅政。曹爽排挤司马懿，将诸兄弟均进封为朝廷要职，曹羲受封中领军，掌握禁兵。曹爽经常外出狩猎，曹羲恐他人暗算，出言劝谏，但不被采纳。终于，司马懿借曹爽兄弟外出之际发动政变，曹爽兄弟均被剥夺兵权，不久以谋反罪斩首，夷三族，党羽皆被剿灭。'}
{'姓名': '曹熊', '拼音': 'cáo-xióng', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '魏萧怀王。文帝同母弟也，体弱多病。太祖薨，熊未奔丧，文帝兴兵问罪。熊惧罪，自缢而死，文帝厚葬之，追谥萧怀王。'}
{'姓名': '曹休', '拼音': 'cáo-xiū', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': '文烈', '生卒': '？ - 228', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操部下，曹氏宗族将领，于“曹操大宴铜雀台”之时率先登场，射箭夺袍。曹休随曹操四处征伐，在攻蜀汉中之战，伐吴濡须口之战均有登场，曾放冷箭射倒吴将凌统的马匹，后又协助夏侯惇平息洛阳纵火叛乱，总管御林兵马，协助曹丕代汉。魏文帝时期，曹休参与三路伐吴，被吴将吕范击败，无功而反。魏明帝继位后，曹休官至大司马，被吴将周鲂断发所骗，伐吴被陆逊杀得大败，气忧成病，回到洛阳，疽发背而死。'}
{'姓名': '曹询', '拼音': 'cáo-xún', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '232 - 244', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': None}
{'姓名': '曹训', '拼音': 'cáo-xùn', '效忠势力': '魏', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 249', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹真之子，曹爽之弟。魏明帝曹睿去世后，曹爽和司马懿同受托孤辅政。曹爽排挤司马懿，将诸兄弟均进封为朝廷要职，曹训受封武卫将军，掌握禁兵。后来，司马懿借曹爽兄弟外出之际发动政变，曹爽兄弟均被剥夺兵权，不久以谋反罪斩首，夷三族，党羽皆被剿灭。'}
